[BrainBitSignalData(PackNum=56, Marker=0, O1=0.14106725794530672, O2=0.16003204348759031, T3=0.12156765133633742, T4=0.179662112867463), BrainBitSignalData(PackNum=56, Marker=0, O1=0.14084371647235536, O2=0.15971618625277162, T3=0.12139904155639797, T4=0.1794423860954152)]
[BrainBitSignalData(PackNum=57, Marker=0, O1=0.14075903011229526, O2=0.15965820279903678, T3=0.1212987149226331, T4=0.17928178718737334), BrainBitSignalData(PackNum=57, Marker=0, O1=0.14066175523925328, O2=0.15955635028491047, T3=0.12118694418615741, T4=0.17913415826240375)]
[BrainBitSignalData(PackNum=58, Marker=0, O1=0.1406052976658799, O2=0.15945754953150704, T3=0.12109691724483228, T4=0.17899682902987388), BrainBitSignalData(PackNum=58, Marker=0, O1=0.1403836635433803, O2=0.1591794578356341, T3=0.12096759888419999, T4=0.17880113487351884)]
[BrainBitSignalData(PackNum=59, Marker=0, O1=0.1403184321579286, O2=0.15915084757885703, T3=0.12086765372052548, T4=0.1786603724101757), BrainBitSignalData(PackNum=59, Marker=0, O1=0.14023260138759747, O2=0.15906234651789333, T3=0.1207898338220919, T4=0.17850549555348927)]
[BrainBitSignalData(PackNum=60, Marker=0, O1=0.14010862360823023, O2=0.15889221085759245, T3=0.12070552893212216, T4=0.1783544333977064), BrainBitSignalData(PackNum=60, Marker=0, O1=0.1399495505805498, O2=0.15869003170970128, T3=0.12059032496483323, T4=0.17822397062680304)]
[BrainBitSignalData(PackNum=61, Marker=0, O1=0.13988698948573064, O2=0.15864921441003266, T3=0.12052204181865867, T4=0.17811296283050806), BrainBitSignalData(PackNum=61, Marker=0, O1=0.13982748015163438, O2=0.1585954271272918, T3=0.12045146985194193, T4=0.17798898505114083)]
[BrainBitSignalData(PackNum=62, Marker=0, O1=0.13966077772214672, O2=0.15836158596190067, T3=0.12034809145745416, T4=0.1778360155449062), BrainBitSignalData(PackNum=62, Marker=0, O1=0.1395688434303698, O2=0.15827079608039482, T3=0.12025005364423146, T4=0.17770822306463535)]
[BrainBitSignalData(PackNum=63, Marker=0, O1=0.13949750852347234, O2=0.1581964094127745, T3=0.12018138902796653, T4=0.1775834823450874), BrainBitSignalData(PackNum=63, Marker=0, O1=0.13946927973678563, O2=0.15818496531006365, T3=0.12010662089025582, T4=0.17749727010466587)]
[BrainBitSignalData(PackNum=64, Marker=0, O1=0.13923429416112343, O2=0.1578301981260282, T3=0.11996166225591876, T4=0.1773057721193048), BrainBitSignalData(PackNum=64, Marker=0, O1=0.13917516629711751, O2=0.15780463962997401, T3=0.11989871969100924, T4=0.17717683522876285)]
[BrainBitSignalData(PackNum=65, Marker=0, O1=0.13912214195455738, O2=0.15776229644994397, T3=0.11983272536537683, T4=0.17705247597930526), BrainBitSignalData(PackNum=65, Marker=0, O1=0.1390618696802804, O2=0.15768447655151038, T3=0.11977130868082875, T4=0.1769414681830103)]
[BrainBitSignalData(PackNum=66, Marker=0, O1=0.13887952697708797, O2=0.15743613952268556, T3=0.11965076413227475, T4=0.17679345778795033), BrainBitSignalData(PackNum=66, Marker=0, O1=0.13885244260067234, O2=0.15742660277042653, T3=0.1195988841999857, T4=0.17668702763273966)]
[BrainBitSignalData(PackNum=67, Marker=0, O1=0.13877767446296163, O2=0.157344586700999, T3=0.11954051927616051, T4=0.17659890804186634), BrainBitSignalData(PackNum=67, Marker=0, O1=0.13865827432467873, O2=0.15718932837422217, T3=0.11943828529194384, T4=0.17647645614286056)]
[BrainBitSignalData(PackNum=68, Marker=0, O1=0.1385381112462151, O2=0.15705733972295735, T3=0.1193356698376368, T4=0.17633454926924635), BrainBitSignalData(PackNum=68, Marker=0, O1=0.13849805688672723, O2=0.15700240802994542, T3=0.11928417137543809, T4=0.17626283289225855)]
[BrainBitSignalData(PackNum=69, Marker=0, O1=0.13845571370669718, O2=0.1569917268674153, T3=0.11927196433254655, T4=0.17618577593400567), BrainBitSignalData(PackNum=69, Marker=0, O1=0.13831037360226975, O2=0.15676475216365068, T3=0.11916667858760699, T4=0.17604234318003004)]
[BrainBitSignalData(PackNum=70, Marker=0, O1=0.13825315308871564, O2=0.15668273609422312, T3=0.11908771427890233, T4=0.17593247979400617), BrainBitSignalData(PackNum=70, Marker=0, O1=0.1382100469685049, O2=0.15664458908518705, T3=0.119022864363541, T4=0.17582299787807262)]
[BrainBitSignalData(PackNum=71, Marker=0, O1=0.138146722933505, O2=0.15661941205922322, T3=0.11894885916601101, T4=0.17572457859475957), BrainBitSignalData(PackNum=71, Marker=0, O1=0.1379826907946499, O2=0.15638137472283814, T3=0.11885806928450517, T4=0.17557580525951888)]
[BrainBitSignalData(PackNum=72, Marker=0, O1=0.13793844026416804, O2=0.15636611591922372, T3=0.11883785136971604, T4=0.1754968409508142), BrainBitSignalData(PackNum=72, Marker=0, O1=0.13788961209260187, O2=0.15631614333738647, T3=0.11875621677037886, T4=0.17542436163364566)]
[BrainBitSignalData(PackNum=73, Marker=0, O1=0.13780607014281288, O2=0.1562177240540734, T3=0.11868869656438501, T4=0.1753415826240374), BrainBitSignalData(PackNum=73, Marker=0, O1=0.1377107026202227, O2=0.15609489068497723, T3=0.1186139284266743, T4=0.17520272751114607)]
[BrainBitSignalData(PackNum=74, Marker=0, O1=0.13764890446558425, O2=0.15602851488925445, T3=0.11856662613546957, T4=0.17508637913358607), BrainBitSignalData(PackNum=74, Marker=0, O1=0.13761991273871682, O2=0.1560086784445557, T3=0.1185235200152588, T4=0.17505433564599576)]
[BrainBitSignalData(PackNum=75, Marker=0, O1=0.1376202942088072, O2=0.1560185966669051, T3=0.11846286627089145, T4=0.17501924039768257), BrainBitSignalData(PackNum=75, Marker=0, O1=0.13735173926519323, O2=0.15561996042247814, T3=0.11833087761962664, T4=0.1748567341391889)]
[BrainBitSignalData(PackNum=76, Marker=0, O1=0.1373734830603438, O2=0.1557115132441647, T3=0.11833316644016881, T4=0.1748002765658155), BrainBitSignalData(PackNum=76, Marker=0, O1=0.13738378275278354, O2=0.15573211262904418, T3=0.11830264883293995, T4=0.17471368285530364)]
