[BrainBitSignalData(PackNum=61, Marker=0, O1=0.30991888992203703, O2=0.24778618601435282, T3=0.1539407290847102, T4=0.264151252890828), BrainBitSignalData(PackNum=61, Marker=0, O1=0.3090609636888158, O2=0.24729332665760675, T3=0.1535268340366688, T4=0.2636458050211001)]
[BrainBitSignalData(PackNum=62, Marker=0, O1=0.30822897742173905, O2=0.24682259256610162, T3=0.1531472712967599, T4=0.2631521827241733), BrainBitSignalData(PackNum=62, Marker=0, O1=0.30738974322294543, O2=0.24637322079965668, T3=0.15276084209522447, T4=0.26268450039339103)]
[BrainBitSignalData(PackNum=63, Marker=0, O1=0.30659018191354936, O2=0.2459467372386334, T3=0.15235305056862886, T4=0.2622408506783015), BrainBitSignalData(PackNum=63, Marker=0, O1=0.30575399947547865, O2=0.24545425935197768, T3=0.1519505996232983, T4=0.26173731015902535)]
[BrainBitSignalData(PackNum=64, Marker=0, O1=0.30498724459385357, O2=0.24502930167131584, T3=0.15159278067853993, T4=0.26129709367474907), BrainBitSignalData(PackNum=64, Marker=0, O1=0.30422506735331284, O2=0.24460167370002148, T3=0.1512105476479985, T4=0.2608519180792981)]
[BrainBitSignalData(PackNum=65, Marker=0, O1=0.3034647974632239, O2=0.24419350070333548, T3=0.1508431919509811, T4=0.2604284862789977), BrainBitSignalData(PackNum=65, Marker=0, O1=0.30267286555563505, O2=0.243731921893999, T3=0.15048880623703598, T4=0.2599562263071311)]
[BrainBitSignalData(PackNum=66, Marker=0, O1=0.3019495982643111, O2=0.2433355744701142, T3=0.15012755406146439, T4=0.2595560641823427), BrainBitSignalData(PackNum=66, Marker=0, O1=0.30122861979352933, O2=0.24294266027704267, T3=0.14978766421095296, T4=0.25914598383520493)]
[BrainBitSignalData(PackNum=67, Marker=0, O1=0.30049963045085, O2=0.24253868345135066, T3=0.14943480437736928, T4=0.2587362849581575), BrainBitSignalData(PackNum=67, Marker=0, O1=0.299757289655008, O2=0.24209121903535752, T3=0.1490987292277615, T4=0.2582846243711704), BrainBitSignalData(PackNum=68, Marker=0, O1=0.2990649214410033, O2=0.24171775981689436, T3=0.14877180936032233, T4=0.2579081133919844), BrainBitSignalData(PackNum=68, Marker=0, O1=0.29839124526142624, O2=0.24135307441050952, T3=0.14844031185179887, T4=0.2575323653529791)]
[BrainBitSignalData(PackNum=69, Marker=0, O1=0.29769773263715044, O2=0.24095939727725724, T3=0.1481038552321007, T4=0.2571074076723172), BrainBitSignalData(PackNum=69, Marker=0, O1=0.29701757146603724, O2=0.24058136041770975, T3=0.14777502801420977, T4=0.25670152349617337)]
[BrainBitSignalData(PackNum=70, Marker=0, O1=0.2963599170302554, O2=0.24023384116539112, T3=0.14744505638604774, T4=0.25634637484204753), BrainBitSignalData(PackNum=70, Marker=0, O1=0.29573621343251555, O2=0.23991188040912667, T3=0.14714140619412058, T4=0.25600534058126506)]
[BrainBitSignalData(PackNum=71, Marker=0, O1=0.29506291872302887, O2=0.23951705886560332, T3=0.14686026273752473, T4=0.2555948787640369), BrainBitSignalData(PackNum=71, Marker=0, O1=0.2944262451422168, O2=0.23915428080967027, T3=0.14655203490451327, T4=0.25523286364828457)]
[BrainBitSignalData(PackNum=72, Marker=0, O1=0.2937865198006819, O2=0.23879760627518298, T3=0.14623655913978495, T4=0.2548849629258756), BrainBitSignalData(PackNum=72, Marker=0, O1=0.29316891972438786, O2=0.2384691605273824, T3=0.14592108337505663, T4=0.25454507307536417)]
[BrainBitSignalData(PackNum=73, Marker=0, O1=0.292530338793124, O2=0.2380892163173831, T3=0.14562277376439453, T4=0.25414147771976253), BrainBitSignalData(PackNum=73, Marker=0, O1=0.2919508857258661, O2=0.2377786996638295, T3=0.1453328564957204, T4=0.25382295019431134)]
[BrainBitSignalData(PackNum=74, Marker=0, O1=0.2913718141286985, O2=0.23746131654864935, T3=0.14505552774002814, T4=0.2535048041389505), BrainBitSignalData(PackNum=74, Marker=0, O1=0.2907771022578261, O2=0.23713859285220418, T3=0.14477285840307083, T4=0.2531801730920535)]
[BrainBitSignalData(PackNum=75, Marker=0, O1=0.290172090694514, O2=0.23679031065970485, T3=0.14451536609207735, T4=0.25280976563431323), BrainBitSignalData(PackNum=75, Marker=0, O1=0.28961590730276804, O2=0.2365034451517536, T3=0.1442399446868369, T4=0.25252022983572947)]
[BrainBitSignalData(PackNum=76, Marker=0, O1=0.2890581980306607, O2=0.23619178408792887, T3=0.14396948239277116, T4=0.2522158167036216), BrainBitSignalData(PackNum=76, Marker=0, O1=0.28849400376701717, O2=0.23587516391292945, T3=0.1436883389361753, T4=0.2518690603914837)]
[BrainBitSignalData(PackNum=77, Marker=0, O1=0.28793515008463866, O2=0.23557189519109267, T3=0.14341177312066375, T4=0.25154404787449636), BrainBitSignalData(PackNum=77, Marker=0, O1=0.28738468874424816, O2=0.23528274086259926, T3=0.14315733257039315, T4=0.25125565648618364)]
[BrainBitSignalData(PackNum=78, Marker=0, O1=0.28686817824189975, O2=0.23501075268817204, T3=0.14290403643039362, T4=0.2509897718332022), BrainBitSignalData(PackNum=78, Marker=0, O1=0.28631123190997304, O2=0.23468650311136544, T3=0.1426556994015688, T4=0.25063843787997997)]
[BrainBitSignalData(PackNum=79, Marker=0, O1=0.28580463962997404, O2=0.23441031876594426, T3=0.14240202179147893, T4=0.2503485206113058), BrainBitSignalData(PackNum=79, Marker=0, O1=0.2852835514865413, O2=0.23414710440359537, T3=0.1421456738907565, T4=0.25007233626588465)]
